,Model,Substância,cm_0,cm_1,cm_2,cm_3
1363,BernoulliNB,Ecstasy,80,33,27,48
1364,BernoulliNB,Ecstasy,77,36,21,54
1365,BernoulliNB,Ecstasy,87,26,24,51
1366,BernoulliNB,Ecstasy,81,32,17,58
1367,BernoulliNB,Ecstasy,85,28,22,52
1368,BernoulliNB,Ecstasy,76,37,17,57
1369,BernoulliNB,Ecstasy,76,37,22,52
1370,BernoulliNB,Ecstasy,83,31,19,55
1371,BernoulliNB,Ecstasy,84,30,20,54
1372,BernoulliNB,Ecstasy,75,38,15,60
1373,BernoulliNB,Ecstasy,71,42,17,58
1374,BernoulliNB,Ecstasy,77,36,23,52
1375,BernoulliNB,Ecstasy,79,34,23,52
1376,BernoulliNB,Ecstasy,77,36,19,56
1377,BernoulliNB,Ecstasy,88,25,20,54
1378,BernoulliNB,Ecstasy,85,28,26,48
1379,BernoulliNB,Ecstasy,86,27,30,44
1380,BernoulliNB,Heroin,167,0,21,0
1381,BernoulliNB,Heroin,167,0,21,0
1382,BernoulliNB,Heroin,167,0,21,0
1383,BernoulliNB,Heroin,167,0,21,0
1384,BernoulliNB,Heroin,167,0,21,0
1385,BernoulliNB,Heroin,167,0,21,0
1386,BernoulliNB,Heroin,167,0,21,0
1387,BernoulliNB,Heroin,167,0,20,0
1388,BernoulliNB,Heroin,166,0,21,0
1389,BernoulliNB,Heroin,166,0,21,0
1390,BernoulliNB,Heroin,167,0,21,0
1391,BernoulliNB,Heroin,167,0,21,0
1392,BernoulliNB,Heroin,167,0,21,0
1393,BernoulliNB,Heroin,167,0,21,0
1394,BernoulliNB,Heroin,167,0,21,0
1395,BernoulliNB,Heroin,167,0,21,0
1396,BernoulliNB,Heroin,167,0,21,0
1397,BernoulliNB,Heroin,167,0,20,0
1398,BernoulliNB,Heroin,166,0,21,0
1399,BernoulliNB,Heroin,166,0,21,0
1400,BernoulliNB,Heroin,167,0,21,0
1401,BernoulliNB,Heroin,167,0,21,0
1402,BernoulliNB,Heroin,167,0,21,0
1403,BernoulliNB,Heroin,167,0,21,0
1404,BernoulliNB,Heroin,167,0,21,0
1405,BernoulliNB,Heroin,167,0,21,0
1406,BernoulliNB,Heroin,167,0,21,0
1407,BernoulliNB,Heroin,167,0,20,0
1408,BernoulliNB,Heroin,166,0,21,0
1409,BernoulliNB,Heroin,166,0,21,0
1410,BernoulliNB,Ketamine,154,0,34,0
1411,BernoulliNB,Ketamine,153,0,35,0
1412,BernoulliNB,Ketamine,153,0,35,0
1413,BernoulliNB,Ketamine,153,0,35,0
1414,BernoulliNB,Ketamine,153,0,35,0
1415,BernoulliNB,Ketamine,153,0,35,0
1416,BernoulliNB,Ketamine,153,0,35,0
1417,BernoulliNB,Ketamine,153,0,34,0
1418,BernoulliNB,Ketamine,153,0,34,0
1419,BernoulliNB,Ketamine,153,0,34,0
1420,BernoulliNB,Ketamine,154,0,34,0
1421,BernoulliNB,Ketamine,153,0,35,0
1422,BernoulliNB,Ketamine,153,0,35,0
1423,BernoulliNB,Ketamine,153,0,35,0
1424,BernoulliNB,Ketamine,153,0,35,0
1425,BernoulliNB,Ketamine,153,0,35,0
1426,BernoulliNB,Ketamine,153,0,35,0
1427,BernoulliNB,Ketamine,153,0,34,0
1428,BernoulliNB,Ketamine,153,0,34,0
1429,BernoulliNB,Ketamine,153,0,34,0
1430,BernoulliNB,Ketamine,154,0,34,0
1431,BernoulliNB,Ketamine,153,0,35,0
1432,BernoulliNB,Ketamine,153,0,35,0
